plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date
JSE5279,NY,PAS,4939191485,03/06/2025,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
KHB9090,NY,PAS,2022307010,04/15/2025,09:28A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,007,NY,DEPARTMENT OF SANITATION,,
GST7523,NY,PAS,2022633088,04/15/2025,11:17A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,006,NY,DEPARTMENT OF SANITATION,,
KHS2784,NY,PAS,4939191497,03/06/2025,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
KGM2860,NY,PAS,4939191503,03/06/2025,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
Y38ULT,NJ,PAS,4939191709,03/06/2025,11:43A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
KEF2249,NY,PAS,2022725931,04/11/2025,01:11A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,090,Kings,DEPARTMENT OF SANITATION,,
46913MN,NY,COM,8858175591,02/16/2021,11:23A,FIRE HYDRANT,115,10,0,0,125,0,079,K,TRAFFIC,HEARING HELD-GUILTY,
FAC6334,NY,PAS,8858177060,02/25/2021,11:24A,NO PARKING-STREET CLEANING,65,10,0,0,75,0,079,K,TRAFFIC,HEARING HELD-GUILTY,
AU5921,NY,PAS,5701170755,11/12/2024,02:01P,NO STANDING-OFF-STREET LOT,50,0,0,0,50,0,000,,TRANSIT AUTHORITY,,
KHL5173,NY,PAS,5701170718,11/12/2024,01:58P,NO STANDING-OFF-STREET LOT,150,0,0,0,150,0,000,,TRANSIT AUTHORITY,HEARING HELD-GUILTY,
LAL6213,NY,PAS,1490121572,02/06/2024,04:55P,DOUBLE PARKING,115,0,0,115,0,0,067,K,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,
FEH5629,NY,PAS,1498523043,03/31/2025,08:20P,DOUBLE PARKING,115,10,0,0,125,0,067,K,POLICE DEPARTMENT,,
U59SNP,NJ,PAS,1494950030,12/22/2023,,,,,,,,,,,,,
L66NRW,NJ,PAS,1490121523,07/30/2023,,,,,,,,,,,,,
MGS2805,PA,PAS,2022726054,04/15/2025,01:19A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,090,Kings,DEPARTMENT OF SANITATION,,
KZF8556,NY,PAS,2022737570,04/15/2025,11:07A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,030,NY,DEPARTMENT OF SANITATION,,
10886MM,NY,COM,9049019316,05/08/2023,03:16P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,088,K,TRAFFIC,APPEAL AFFIRMED,
JH474,RI,PAS,4941169657,03/22/2025,11:12A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
KNG1484,NY,PAS,4939191783,03/06/2025,11:43A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
KZA8666,NY,PAS,4941169530,03/22/2025,11:07A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
LSP9266,NY,PAS,4937994876,02/23/2025,09:01A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,MN,DEPARTMENT OF TRANSPORTATION,,
LSP9266,NY,PAS,4937995017,02/23/2025,09:06A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,MN,DEPARTMENT OF TRANSPORTATION,,
KJH5392,NY,PAS,4937995042,02/23/2025,09:06A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
APZ1536,NY,PAS,4939192258,03/06/2025,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,ST,DEPARTMENT OF TRANSPORTATION,,
LVZ7463,NY,PAS,4965446434,09/19/2025,04:55P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
GNL3543,NY,PAS,4049629252,11/19/2025,04:27P,BUS LANE VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
JCR3595,NY,PAS,4965837605,09/23/2025,03:08P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
KZF8987,NY,PAS,4965446513,09/19/2025,04:58P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,ST,DEPARTMENT OF TRANSPORTATION,,
HDZ5257,NY,PAS,4049629264,11/19/2025,04:27P,BUS LANE VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
LBV1942,NY,PAS,4939770011,03/11/2025,09:21A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
T65GGM,NJ,PAS,4939770138,03/11/2025,09:24A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
W77LPY,NJ,PAS,4939769951,03/11/2025,09:19A,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
