fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,total_charges,net_paid,unpaid_balance_ratio,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,county_encoded,issuing_agency_encoded,violation_status_encoded,license_type_encoded,cluster
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,2,0,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,2,0,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,1,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2025,3,6,3,1,0,3,1,6,8,0
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,11,4,2,0,1,0,6,8,0
115.0,10.0,0.0,125.0,0.0,125.0,125.0,0.0,2021,2,16,1,1,0,1,6,3,1,1
65.0,10.0,0.0,75.0,0.0,75.0,75.0,0.0,2021,2,25,3,1,0,1,6,3,8,1
50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,2024,11,12,1,4,0,5,7,6,8,2
150.0,0.0,0.0,150.0,0.0,150.0,150.0,0.0,2024,11,12,1,4,0,5,7,3,8,1
115.0,0.0,0.0,0.0,0.0,115.0,-55.09999999999991,0.0,2024,2,6,1,1,0,1,5,5,8,0
115.0,10.0,0.0,125.0,0.0,125.0,125.0,0.0,2025,3,31,0,1,0,1,5,6,8,1
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,12,22,4,4,0,5,8,6,8,2
59.94399185336049,4.760692464358452,1.0263034623217924,63.7833401221996,0.1069246435845213,65.73098778004073,61.94261710794298,0.0016267006962124,2023,7,30,6,3,1,5,8,6,8,2
65.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,2025,4,15,1,2,0,1,0,6,8,0
