plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
JSE5279,NY,PAS,4939191485,2025-03-06,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
KHB9090,NY,PAS,2022307010,2025-04-15,09:28A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,007,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
GST7523,NY,PAS,2022633088,2025-04-15,11:17A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,006,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
KHS2784,NY,PAS,4939191497,2025-03-06,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
KGM2860,NY,PAS,4939191503,2025-03-06,11:40A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
Y38ULT,NJ,PAS,4939191709,2025-03-06,11:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
KEF2249,NY,PAS,2022725931,2025-04-11,01:11A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,090,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
46913MN,NY,COM,8858175591,2021-02-16,11:23A,FIRE HYDRANT,115.0,10.0,0.0,0.0,125.0,0.0,079,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,,2021,2,16,1,1,0,125.0,125.0,0.0,1,1,17,1,6,3
FAC6334,NY,PAS,8858177060,2021-02-25,11:24A,NO PARKING-STREET CLEANING,65.0,10.0,0.0,0.0,75.0,0.0,079,Brooklyn,TRAFFIC,HEARING HELD-GUILTY,,2021,2,25,3,1,0,75.0,75.0,0.0,1,1,17,8,6,3
AU5921,NY,PAS,5701170755,2024-11-12,02:01P,NO STANDING-OFF-STREET LOT,50.0,0.0,0.0,0.0,50.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,UNKNOWN,,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
KHL5173,NY,PAS,5701170718,2024-11-12,01:58P,NO STANDING-OFF-STREET LOT,150.0,0.0,0.0,0.0,150.0,0.0,000,UNKNOWN,TRANSIT AUTHORITY,HEARING HELD-GUILTY,,2024,11,12,1,4,0,150.0,150.0,0.0,1,5,17,8,7,3
LAL6213,NY,PAS,1490121572,2024-02-06,04:55P,DOUBLE PARKING,115.0,0.0,0.0,55.09999999999991,0.0,0.0,067,Brooklyn,POLICE DEPARTMENT,HEARING HELD-NOT GUILTY,,2024,2,6,1,1,0,115.0,-55.09999999999991,0.0,1,1,17,8,5,5
FEH5629,NY,PAS,1498523043,2025-03-31,08:20P,DOUBLE PARKING,115.0,10.0,0.0,0.0,125.0,0.0,067,Brooklyn,POLICE DEPARTMENT,UNKNOWN,,2025,3,31,0,1,0,125.0,125.0,0.0,1,1,17,8,5,6
U59SNP,NJ,PAS,1494950030,2023-12-22,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,12,22,4,4,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
L66NRW,NJ,PAS,1490121523,2023-07-30,UNKNOWN,UNKNOWN,59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,,UNKNOWN,UNKNOWN,UNKNOWN,,2023,7,30,6,3,1,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
MGS2805,PA,PAS,2022726054,2025-04-15,01:19A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,090,Brooklyn,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,1,19,8,0,6
KZF8556,NY,PAS,2022737570,2025-04-15,11:07A,NO PARKING-STREET CLEANING,65.0,0.0,0.0,0.0,65.0,0.0,030,Manhattan,DEPARTMENT OF SANITATION,UNKNOWN,,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
10886MM,NY,COM,9049019316,2023-05-08,03:16P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,088,Brooklyn,TRAFFIC,APPEAL AFFIRMED,,2023,5,8,0,2,0,115.0,115.0,0.0,1,1,17,1,6,1
JH474,RI,PAS,4941169657,2025-03-22,11:12A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,20,8,1,6
KNG1484,NY,PAS,4939191783,2025-03-06,11:43A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,0,17,8,1,6
KZA8666,NY,PAS,4941169530,2025-03-22,11:07A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,8,1,6
LSP9266,NY,PAS,4937994876,2025-02-23,09:01A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,2,17,8,1,6
LSP9266,NY,PAS,4937995017,2025-02-23,09:06A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Manhattan,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,2,17,8,1,6
KJH5392,NY,PAS,4937995042,2025-02-23,09:06A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,2,23,6,1,1,75.0,75.0,0.0,0,1,17,8,1,6
APZ1536,NY,PAS,4939192258,2025-03-06,11:46A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
LVZ7463,NY,PAS,4965446434,2025-09-19,04:55P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,75.0,75.0,0.0,0,1,17,8,1,6
GNL3543,NY,PAS,4049629252,2025-11-19,04:27P,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,11,19,2,4,0,50.0,50.0,0.0,0,1,17,8,1,6
JCR3595,NY,PAS,4965837605,2025-09-23,03:08P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.0,0.0,75.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,23,1,3,0,75.0,75.0,0.0,0,3,17,8,1,6
KZF8987,NY,PAS,4965446513,2025-09-19,04:58P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Staten Island,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,9,19,4,3,0,50.0,50.0,0.0,0,4,17,8,1,6
HDZ5257,NY,PAS,4049629264,2025-11-19,04:27P,BUS LANE VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,11,19,2,4,0,50.0,50.0,0.0,0,0,17,8,1,6
LBV1942,NY,PAS,4939770011,2025-03-11,09:21A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Bronx,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
T65GGM,NJ,PAS,4939770138,2025-03-11,09:24A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Queens,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,16,8,1,6
W77LPY,NJ,PAS,4939769951,2025-03-11,09:19A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,000,Brooklyn,DEPARTMENT OF TRANSPORTATION,UNKNOWN,,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,16,8,1,6
