fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,issue_year,issue_month,issue_day,issue_dayofweek,issue_quarter,is_weekend,total_charges,net_paid,unpaid_balance_ratio,high_fine_flag,county_encoded,state_encoded,license_type_encoded,issuing_agency_encoded,violation_status_encoded
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,16,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,1,17,8,0,6
115.0,10.0,0.0,0.0,125.0,0.0,2021,2,16,1,1,0,125.0,125.0,0.0,1,1,17,1,6,3
65.0,10.0,0.0,0.0,75.0,0.0,2021,2,25,3,1,0,75.0,75.0,0.0,1,1,17,8,6,3
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,8,7,6
150.0,0.0,0.0,0.0,150.0,0.0,2024,11,12,1,4,0,150.0,150.0,0.0,1,5,17,8,7,3
115.0,0.0,0.0,55.09999999999991,0.0,0.0,2024,2,6,1,1,0,115.0,-55.09999999999991,0.0,1,1,17,8,5,5
115.0,10.0,0.0,0.0,125.0,0.0,2025,3,31,0,1,0,125.0,125.0,0.0,1,1,17,8,5,6
59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,2023,12,22,4,4,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,2023,7,30,6,3,1,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,1,19,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,17,8,0,6
115.0,0.0,0.0,0.0,115.0,0.0,2023,5,8,0,2,0,115.0,115.0,0.0,1,1,17,1,6,1
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,20,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,3,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,2,23,6,1,1,75.0,75.0,0.0,0,2,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,2,23,6,1,1,75.0,75.0,0.0,0,2,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,2,23,6,1,1,75.0,75.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,9,19,4,3,0,75.0,75.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,11,19,2,4,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,9,23,1,3,0,75.0,75.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,11,19,2,4,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,16,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,1,16,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,4,17,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,2,17,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,15,1,2,0,65.0,65.0,0.0,1,2,16,8,0,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,3,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,17,8,7,6
45.0,0.0,0.0,0.0,45.0,0.0,2025,4,24,3,2,0,45.0,45.0,0.0,0,2,16,8,6,6
115.0,0.0,0.0,0.0,115.0,0.0,2025,4,25,4,2,0,115.0,115.0,0.0,1,2,17,8,6,6
115.0,0.0,0.0,0.0,115.0,0.0,2025,4,8,1,2,0,115.0,115.0,0.0,1,2,17,1,6,3
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,22,5,1,1,50.0,50.0,0.0,0,0,10,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,11,1,1,0,50.0,50.0,0.0,0,3,17,8,1,6
65.0,0.0,0.0,0.0,65.0,0.0,2025,4,11,4,2,0,65.0,65.0,0.0,1,3,17,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,24,8,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,1,17,8,7,3
50.0,0.0,0.0,0.0,50.0,0.0,2024,11,12,1,4,0,50.0,50.0,0.0,0,5,17,5,7,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,4,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
115.0,0.0,0.0,0.0,115.0,0.0,2025,4,12,5,2,1,115.0,115.0,0.0,1,3,16,8,0,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,3,6,3,1,0,50.0,50.0,0.0,0,3,17,8,1,6
50.0,25.0,0.0,0.0,75.0,0.0,2025,3,22,5,1,1,75.0,75.0,0.0,0,0,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,11,18,1,4,0,50.0,50.0,0.0,0,3,17,8,1,6
115.0,10.0,0.0,0.0,125.0,0.0,2024,4,18,3,2,0,125.0,125.0,0.0,1,1,17,8,5,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,19,4,3,0,50.0,50.0,0.0,0,1,17,8,1,6
50.0,0.0,0.0,0.0,50.0,0.0,2025,9,24,2,3,0,50.0,50.0,0.0,0,3,17,8,1,6
59.94399185336049,4.760692464358452,1.0263034623217924,1.8407230142566193,63.7833401221996,0.10692464358452139,2023,3,27,0,1,0,65.73098778004073,61.94261710794298,0.0016267006962124057,1,5,16,8,8,6
